name,co2,co2_date,region
AFGHANISTAN,7893000.0,2019,SOUTH ASIA
KYRGYZSTAN,7880000.0,2019,CENTRAL ASIA
MOZAMBIQUE,7753000.0,2019,AFRICA
NEPAL,7708000.0,2019,SOUTH ASIA
TAJIKISTAN,7643000.0,2019,CENTRAL ASIA
EL SALVADOR,7632000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
NORTH MACEDONIA,7383000.0,2019,EUROPE
MAURITIUS,7191000.0,2019,AFRICA
CAMEROON,7105000.0,2019,AFRICA
BENIN,6903000.0,2019,AFRICA
ZAMBIA,6798000.0,2019,AFRICA
PAPUA NEW GUINEA,6491000.0,2019,EAST AND SOUTHEAST ASIA
URUGUAY,6450000.0,2019,SOUTH AMERICA
ARMENIA,6354000.0,2019,MIDDLE EAST
BOTSWANA,5965000.0,2019,AFRICA
NEW CALEDONIA,5886000.0,2019,AUSTRALIA AND OCEANIA
UGANDA,5841000.0,2019,AFRICA
MALI,5679000.0,2019,AFRICA
ESTONIA,4924000.0,2019,EUROPE
NICARAGUA,4851000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
EQUATORIAL GUINEA,4528000.0,2019,AFRICA
"CONGO, REPUBLIC OF THE",4523000.0,2019,AFRICA
BURKINA FASO,4444000.0,2019,AFRICA
MADAGASCAR,4218000.0,2019,AFRICA
MAURITANIA,4041000.0,2019,AFRICA
"BAHAMAS, THE",3984000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
NAMIBIA,3831000.0,2019,AFRICA
ALBANIA,3794000.0,2019,EUROPE
GAZA STRIP,3341000.0,2019,MIDDLE EAST
WEST BANK,3341000.0,2019,MIDDLE EAST
ICELAND,3337000.0,2019,EUROPE
HAITI,3139000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
GUINEA,2981000.0,2019,AFRICA
GUYANA,2743000.0,2019,SOUTH AMERICA
"CONGO, DEMOCRATIC REPUBLIC OF THE",2653000.0,2019,AFRICA
GABON,2651000.0,2019,AFRICA
MONTENEGRO,2447000.0,2019,EUROPE
VIRGIN ISLANDS,2438000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
NIGER,2374000.0,2019,AFRICA
SURINAME,2372000.0,2019,SOUTH AMERICA
MALDIVES,2286000.0,2019,SOUTH ASIA
TOGO,2244000.0,2019,AFRICA
MACAU,2012000.0,2019,EAST AND SOUTHEAST ASIA
GUAM,1828000.0,2019,AUSTRALIA AND OCEANIA
SOUTH SUDAN,1778000.0,2019,AFRICA
CHAD,1771000.0,2019,AFRICA
BARBADOS,1703000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
FIJI,1691000.0,2019,AUSTRALIA AND OCEANIA
MALAWI,1542000.0,2019,AFRICA
LIBERIA,1346000.0,2019,AFRICA
WAKE ISLAND,1275000.0,2019,AUSTRALIA AND OCEANIA
ARUBA,1254000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
ESWATINI,1224000.0,2019,AFRICA
RWANDA,1189000.0,2019,AFRICA
SEYCHELLES,1156000.0,2019,AFRICA
FRENCH POLYNESIA,1030000.0,2019,AUSTRALIA AND OCEANIA
CABO VERDE,1002000.0,2019,AFRICA
BHUTAN,934000.0,2019,SOUTH ASIA
SIERRA LEONE,899000.0,2019,AFRICA
SOMALIA,882000.0,2019,AFRICA
FAROE ISLANDS,870000.0,2019,EUROPE
CAYMAN ISLANDS,808000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
ERITREA,798000.0,2019,AFRICA
BERMUDA,796000.0,2019,NORTH AMERICA
LESOTHO,736000.0,2019,AFRICA
ANTIGUA AND BARBUDA,729000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
BURUNDI,715000.0,2019,AFRICA
SAINT LUCIA,659000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
DJIBOUTI,610000.0,2019,AFRICA
"GAMBIA, THE",606000.0,2019,AFRICA
GREENLAND,605000.0,2019,NORTH AMERICA
BELIZE,541000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
TIMOR-LESTE,538000.0,2019,EAST AND SOUTHEAST ASIA
JERSEY,450000.0,2012,EUROPE
AMERICAN SAMOA,355000.0,2019,AUSTRALIA AND OCEANIA
SAMOA,355000.0,2019,AUSTRALIA AND OCEANIA
GUINEA-BISSAU,342000.0,2019,AFRICA
SOLOMON ISLANDS,333000.0,2019,AUSTRALIA AND OCEANIA
COMOROS,326000.0,2019,AFRICA
GRENADA,316000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
MARSHALL ISLANDS,293700.0,2017,AUSTRALIA AND OCEANIA
CENTRAL AFRICAN REPUBLIC,285000.0,2019,AFRICA
SAINT KITTS AND NEVIS,268000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
TURKS AND CAICOS ISLANDS,245000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
VANUATU,225000.0,2019,AUSTRALIA AND OCEANIA
SAINT VINCENT AND THE GRENADINES,202000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
DOMINICA,182000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
"MICRONESIA, FEDERATED STATES OF",177000.0,2019,AUSTRALIA AND OCEANIA
BRITISH VIRGIN ISLANDS,173000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
SAO TOME AND PRINCIPE,173000.0,2019,AFRICA
TONGA,171000.0,2019,AUSTRALIA AND OCEANIA
COOK ISLANDS,114000.0,2019,AUSTRALIA AND OCEANIA
SAINT PIERRE AND MIQUELON,84000.0,2019,NORTH AMERICA
KIRIBATI,76000.0,2019,AUSTRALIA AND OCEANIA
NAURU,66000.0,2019,AUSTRALIA AND OCEANIA
FALKLAND ISLANDS (ISLAS MALVINAS),46000.0,2019,SOUTH AMERICA
MONTSERRAT,33000.0,2019,CENTRAL AMERICA AND THE CARIBBEAN
ANTARCTICA,28000.0,2019,ANTARCTICA
"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA",13000.0,2019,AFRICA
NIUE,8000.0,2019,AUSTRALIA AND OCEANIA
NORTHERN MARIANA ISLANDS,0.0,2019,AUSTRALIA AND OCEANIA
TUVALU,0.0,2019,AUSTRALIA AND OCEANIA
